scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,250,benchmark,2026,2103,250,0.197058899998,0.741358,0.702880027444,0.194721372591,0.051902013003,0.000000000000,0.566705778900,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,250,hybrid,2026,2103,250,1.0709641,0.741358,0.767597604573,0.015167878110,0.035393972376,0.000000000000,0.075494761866,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,500,benchmark,2026,2103,500,0.1884316,0.741358,0.689194453740,0.122456270824,0.070362154667,0.000000000000,0.394111666800,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,500,hybrid,2026,2103,500,1.9610802,0.741358,0.765671449535,0.010646718653,0.032795828109,0.004648066083,0.060943590135,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,1000,benchmark,2026,2103,1000,0.199829900004,0.741358,0.838579176649,0.107401917801,0.131139310089,0.000000000000,0.415088170005,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,1000,hybrid,2026,2103,1000,3.7472347,0.741358,0.759651156794,0.007917426208,0.024675199828,0.003743132774,0.045607266882,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,2000,benchmark,2026,2103,1000,0.199288100004,0.741358,0.793562744926,0.070864216793,0.070417726558,0.000000000000,0.257768324939,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,2000,hybrid,2026,2103,1000,5.4834548,0.741358,0.750447883969,0.005091583726,0.012261126162,0.000000000000,0.025722239556,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,5000,benchmark,2026,2103,1000,0.218335999998,0.741358,0.805968053637,0.042038702395,0.087150949524,0.000000000000,0.198292741606,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,5000,hybrid,2026,2103,1000,10.811901,0.741358,0.766563358129,0.003459922831,0.033998902190,0.024851568851,0.043146235529,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,10000,benchmark,2026,2103,1000,0.247315799999,0.741358,0.729263167321,0.027825841486,0.016314429303,0.000000000000,0.089880303432,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,10000,hybrid,2026,2103,1000,20.2535604,0.741358,0.764115996707,0.002388491277,0.030697715148,0.024383029257,0.037012401040,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.309676999997,0.741358,0.756683947577,0.020368391554,0.020672802583,0.000000000000,0.074522693520,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,39.0487814,0.741358,0.765318730273,0.001681757576,0.032320053567,0.027873828062,0.036766279073,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,40000,benchmark,2026,2103,1000,0.479649400004,0.741358,0.753420581420,0.014544840399,0.016270926355,0.000000000000,0.054724530663,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,40000,hybrid,2026,2103,1000,78.0049805,0.741358,0.766828095258,0.001188426058,0.034355999743,0.031214042586,0.037497956901,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,60000,benchmark,2026,2103,1000,0.647919700001,0.741358,0.751979946967,0.011809042880,0.014327689143,0.000000000000,0.045548400384,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,60000,hybrid,2026,2103,1000,117.4944483,0.741358,0.769371149353,0.000978312782,0.037786264332,0.035199804008,0.040372724655,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
