paths,rel_error_pct,yerr_minus_pct,yerr_plus_pct
250,11.118093,5.805717,5.805717
1000,2.132918,2.132918,3.039803
5000,1.415325,1.313819,1.313819
10000,0.761043,0.761043,0.912420
20000,0.087872,0.087872,0.643710
40000,0.448542,0.447532,0.447532
60000,0.309531,0.309531,0.368600
