method,scenario,K,euler_steps,paths,low_paths,seed,low_seed,price_direct,se_direct,r,delta1,delta2,v0,vp0,T,exercise_dates,runtime_seconds,engine_sha256,scratch_path,log_path
benchmark,ATM,100,24,250,100,2026,2103,14.471340117435,1.474633782842,0.02,0.5,0.5,0.114,0.11,1.0,12,0.166375,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\scratch\benchmark_K100_M24_N250,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\logs\jobs\benchmark_K100_M24_N250.log
hybrid,ATM,100,24,100,100,2026,2103,13.494749305038,0.831250738368,0.02,0.5,0.5,0.114,0.11,1.0,12,0.487772,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\scratch\hybrid_K100_M24_N100,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\logs\jobs\hybrid_K100_M24_N100.log
