paths,rel_error_pct,yerr_minus_pct,yerr_plus_pct
250,7.878100,4.994685,4.994685
1000,0.959462,0.959462,2.482659
5000,1.242738,1.100414,1.100414
10000,0.464139,0.464139,0.758082
20000,0.238571,0.238571,0.545428
40000,0.155603,0.155603,0.375419
60000,0.150444,0.150444,0.307602
