paths,rel_error_pct,yerr_minus_pct,yerr_plus_pct
250,27.204901,9.541180,9.541180
1000,19.451772,4.576915,4.576915
5000,18.158028,2.106967,2.106967
10000,13.962150,1.392075,1.392075
20000,13.508708,1.047229,1.047229
40000,14.469444,0.699315,0.699315
60000,15.635987,0.579774,0.579774
