euler_steps,rel_error_pct,yerr_minus_pct,yerr_plus_pct
24,3.117762,0.689280,0.689280
48,0.248176,0.248176,0.703736
72,0.418282,0.418282,0.706219
96,0.252767,0.252767,0.707469
