euler_steps,rel_error_pct,yerr_minus_pct,yerr_plus_pct
24,2.589781,0.351464,0.351464
48,0.302416,0.302416,0.355052
72,0.215964,0.215964,0.356693
96,0.412136,0.356083,0.356083
