method,scenario,K,euler_steps,paths,low_paths,seed,low_seed,price_direct,se_direct,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,runtime_seconds,engine_sha256,scratch_path,log_path
benchmark,ATM,100,24,250,100,2026,2103,12.984194967480,1.203325774094,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,0.195210,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\scratch\benchmark_K100_M24_N250,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\logs\jobs\benchmark_K100_M24_N250.log
hybrid,ATM,100,24,100,100,2026,2103,12.807299832419,0.701583296412,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,0.503985,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\scratch\hybrid_K100_M24_N100,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\logs\jobs\hybrid_K100_M24_N100.log
