method,scenario,K,euler_steps,paths,low_paths,seed,low_seed,price_direct,se_direct,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,runtime_seconds,engine_sha256,scratch_path,log_path
benchmark,ATM,100,24,250,100,2026,2103,7.066384059216,0.578367556851,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,0.170083,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\scratch\benchmark_K100_M24_N250,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\logs\jobs\benchmark_K100_M24_N250.log
hybrid,ATM,100,24,100,100,2026,2103,6.390561260800,0.040243460701,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,0.496336,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\scratch\hybrid_K100_M24_N100,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\logs\jobs\hybrid_K100_M24_N100.log
