study,scenario,K,euler_steps,paths,method,output_path,runtime_seconds
step,ATM,100,24,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.219644
step,ATM,100,24,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,38.010775
step,ATM,100,48,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.254537
step,ATM,100,48,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,36.955615
step,ATM,100,72,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.297770
step,ATM,100,72,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,37.409032
step,ATM,100,96,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.325136
step,ATM,100,96,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,36.709749
step,ITM put,110,24,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.225258
step,ITM put,110,24,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,36.126652
step,ITM put,110,48,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.242082
step,ITM put,110,48,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,36.472214
step,ITM put,110,72,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.270835
step,ITM put,110,72,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,36.737761
step,ITM put,110,96,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.304036
step,ITM put,110,96,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,37.120904
step,K=70 put,70,24,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.360036
step,K=70 put,70,24,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,105.192246
