scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,250,benchmark,2026,2103,250,0.1711928,2.522851,3.287774964941,0.570246045380,0.303198232849,0.000000000000,0.746221720540,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,250,hybrid,2026,2103,250,1.0413136,2.522851,3.088816824056,0.116068891751,0.224335810579,0.134162023926,0.314509597232,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,500,benchmark,2026,2103,500,0.170967399994,2.522851,2.869276490383,0.384585689809,0.137315081383,0.000000000000,0.436099255330,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,500,hybrid,2026,2103,500,1.9179098,2.522851,2.905432187798,0.069690716867,0.151646366669,0.097503730002,0.205789003336,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,1000,benchmark,2026,2103,1000,0.179208899994,2.522851,2.945532465735,0.287550653047,0.167541192776,0.000000000000,0.390938959815,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,1000,hybrid,2026,2103,1000,3.7081145,2.522851,2.701980272674,0.055566759762,0.071002715846,0.027832964983,0.114172466708,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,2000,benchmark,2026,2103,1000,0.180377899997,2.522851,2.829113581504,0.186300884012,0.121395429815,0.000000000000,0.266132369358,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,2000,hybrid,2026,2103,1000,5.4930159,2.522851,2.376170989681,0.033177149379,0.058140576007,0.032365287342,0.083915864672,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,5000,benchmark,2026,2103,1000,0.1960311,2.522851,2.673190074990,0.117411500940,0.059590944923,0.000000000000,0.150807803090,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,5000,hybrid,2026,2103,1000,10.758168,2.522851,2.608304954163,0.023629085891,0.033871978235,0.015514568961,0.052229387510,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,10000,benchmark,2026,2103,1000,0.220330999997,2.522851,2.625367959450,0.080129295215,0.040635360332,0.000000000000,0.102887716346,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,10000,hybrid,2026,2103,1000,19.5852288,2.522851,2.554459884679,0.016035953224,0.012529033494,0.000070720134,0.024987346854,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,benchmark,2026,2103,1000,0.295652200002,2.522851,2.611645702773,0.056519503525,0.035196174000,0.000000000000,0.079106110382,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,hybrid,2026,2103,1000,37.3690429,2.522851,2.574765217593,0.011559093854,0.020577599546,0.011597353010,0.029557846082,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,40000,benchmark,2026,2103,1000,0.404106200003,2.522851,2.576444329518,0.039686907727,0.021243160820,0.000000000000,0.052075873154,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,40000,hybrid,2026,2103,1000,72.9203491,2.522851,2.569850783968,0.007860227539,0.018629631305,0.012523029696,0.024736232914,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,60000,benchmark,2026,2103,1000,0.569392199999,2.522851,2.612287696089,0.032540653013,0.035450645357,0.010169849977,0.060731440737,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,60000,hybrid,2026,2103,1000,108.017332,2.522851,2.584752429937,0.006533757218,0.024536300375,0.019460232011,0.029612368739,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
