scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,250,benchmark,2026,2103,250,0.173252100001,6.942119,8.936299671323,0.975960259324,0.287258209103,0.011710914643,0.562805503564,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,250,hybrid,2026,2103,250,1.0407985,6.942119,7.835981767001,0.245165979530,0.128759355321,0.059540530366,0.197978180276,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,500,benchmark,2026,2103,500,0.1716227,6.942119,7.542625633870,0.588595598165,0.086501921657,0.000000000000,0.252682791274,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,500,hybrid,2026,2103,500,1.9222212,6.942119,7.343946509515,0.159588961619,0.057882544150,0.012825067496,0.102940020805,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,1000,benchmark,2026,2103,1000,0.177916000001,6.942119,7.226865064506,0.449441839001,0.041017168462,0.000000000000,0.167910124985,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,1000,hybrid,2026,2103,1000,3.7051988,6.942119,6.957315475712,0.116684154512,0.002189025528,0.000000000000,0.035132993047,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,2000,benchmark,2026,2103,1000,0.196340800001,6.942119,7.310959967921,0.302843414358,0.053130891003,0.000000000000,0.138634048201,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,2000,hybrid,2026,2103,1000,5.4807999,6.942119,6.709028454618,0.076578780079,0.033576282023,0.011955447094,0.055197116952,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,5000,benchmark,2026,2103,1000,0.2014729,6.942119,7.269851335529,0.193546849078,0.047209265000,0.000000000000,0.101854226314,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,5000,hybrid,2026,2103,1000,10.8022232,6.942119,7.114984229637,0.053209454536,0.024900931493,0.009878064428,0.039923798559,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
