scenario,K,r,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=70 put,70.0,0.02,0.5,0.5,12,24,60000,benchmark,2026,2103,1000,0.419601199999,3.363539,4.263938271326,0.047432123299,0.185933923332,0.267694018510,0.240054392014,0.295333645007,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70.0,0.02,0.5,0.5,12,24,60000,hybrid,2026,2103,1000,109.4516845,3.363539,4.188998650408,0.009862920583,0.038662648685,0.245414026835,0.239666709994,0.251161343677,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70.0,0.02,0.5,0.5,12,48,60000,benchmark,2026,2103,1000,0.545173999999,3.363539,4.050913238760,0.045619278598,0.178827572105,0.204360418821,0.177777172409,0.230943665233,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70.0,0.02,0.5,0.5,12,48,60000,hybrid,2026,2103,1000,111.3459918,3.363539,3.951638331767,0.009883950142,0.038745084558,0.174845402942,0.169085831765,0.180604974120,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70.0,0.02,0.5,0.5,12,72,60000,benchmark,2026,2103,1000,0.6612814,3.363539,3.896599030618,0.044766144462,0.175483286292,0.158481893808,0.132395785354,0.184568002263,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70.0,0.02,0.5,0.5,12,72,60000,hybrid,2026,2103,1000,111.9667277,3.363539,3.827276360257,0.009937276987,0.038954125791,0.137871854691,0.132081208918,0.143662500465,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70.0,0.02,0.5,0.5,12,96,60000,benchmark,2026,2103,1000,0.773701800001,3.363539,3.770924539139,0.044172783846,0.173157312676,0.121118125623,0.095377780011,0.146858471234,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70.0,0.02,0.5,0.5,12,96,60000,hybrid,2026,2103,1000,112.9811381,3.363539,3.715050501577,0.009880938910,0.038733280529,0.104506444426,0.098748627952,0.110264260899,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=80 put,80.0,0.02,0.5,0.5,12,24,60000,benchmark,2026,2103,1000,0.419346000001,4.961292,6.184125981093,0.058441383004,0.229090221376,0.246474906354,0.223387148026,0.269562664681,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=80 put,80.0,0.02,0.5,0.5,12,24,60000,hybrid,2026,2103,1000,109.9931771,4.961292,6.131109391647,0.013739550570,0.053859038234,0.235788861379,0.230360936734,0.241216786023,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=80 put,80.0,0.02,0.5,0.5,12,48,60000,benchmark,2026,2103,1000,0.539966100001,4.961292,5.909525308366,0.056807239096,0.222684377256,0.191126284921,0.168684108845,0.213568460997,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=80 put,80.0,0.02,0.5,0.5,12,48,60000,hybrid,2026,2103,1000,112.384986,4.961292,5.808938811910,0.013842647288,0.054263177368,0.170852030461,0.165383376593,0.176320684329,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=80 put,80.0,0.02,0.5,0.5,12,72,60000,benchmark,2026,2103,1000,0.657354699999,4.961292,5.729825836318,0.055824932319,0.218833734689,0.154905987456,0.132851879908,0.176960095004,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=80 put,80.0,0.02,0.5,0.5,12,72,60000,hybrid,2026,2103,1000,112.6890249,4.961292,5.636861741187,0.013889283059,0.054445989592,0.136168107256,0.130681029536,0.141655184977,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
