scenario,K,r,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
OTM put,90.0,0.02,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.2692269,7.081850,8.387971742925,0.117964333622,0.462420187798,0.184432280114,0.151784018163,0.217080542065,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90.0,0.02,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,37.1782484,7.081850,8.086223620843,0.032676500646,0.128091882533,0.141823622478,0.132779948682,0.150867296273,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90.0,0.02,0.5,0.5,12,72,20000,benchmark,2026,2103,1000,0.3201159,7.081850,8.140766395576,0.116298802564,0.455891306050,0.149525391752,0.117338088572,0.181712694932,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90.0,0.02,0.5,0.5,12,72,20000,hybrid,2026,2103,1000,38.6013656,7.081850,7.835468853158,0.032554718716,0.127614497368,0.106415534522,0.097405565562,0.115425503483,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90.0,0.02,0.5,0.5,12,96,20000,benchmark,2026,2103,1000,0.3320281,7.081850,8.055463318941,0.115850331377,0.454133298997,0.137480082032,0.105416899460,0.169543264605,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90.0,0.02,0.5,0.5,12,96,20000,hybrid,2026,2103,1000,38.6051877,7.081850,7.808388497912,0.032627142238,0.127898397574,0.102591624775,0.093561611602,0.111621637948,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100.0,0.02,0.5,0.5,12,24,20000,benchmark,2026,2103,1000,0.240683,9.921166,12.267308263660,0.141936841060,0.556392416955,0.236478480822,0.208437804103,0.264519157540,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100.0,0.02,0.5,0.5,12,24,20000,hybrid,2026,2103,1000,37.8070598,9.921166,11.739295510630,0.041088953540,0.161068697877,0.183257644377,0.175140216552,0.191375072201,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100.0,0.02,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.2764314,9.921166,11.642443281415,0.137850319360,0.540373251890,0.173495462269,0.146262108251,0.200728816286,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100.0,0.02,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,38.4090724,9.921166,11.226218117313,0.042369668470,0.166089100402,0.131542211602,0.123171769035,0.139912654169,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100.0,0.02,0.5,0.5,12,72,20000,benchmark,2026,2103,1000,0.3236129,9.921166,11.259157662517,0.136169443411,0.533784218172,0.134862340023,0.107961055528,0.161763624518,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100.0,0.02,0.5,0.5,12,72,20000,hybrid,2026,2103,1000,38.7762797,9.921166,10.921531794653,0.042262462013,0.165668851092,0.100831474310,0.092482211174,0.109180737445,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100.0,0.02,0.5,0.5,12,96,20000,benchmark,2026,2103,1000,0.341391099999,9.921166,11.113476542129,0.136031146191,0.533242093068,0.120178469157,0.093304506304,0.147052432009,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100.0,0.02,0.5,0.5,12,96,20000,hybrid,2026,2103,1000,38.5875088,9.921166,10.886517243895,0.042420555062,0.166288575843,0.097302196526,0.088921700934,0.105682692117,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ITM put,110.0,0.02,0.5,0.5,12,24,20000,benchmark,2026,2103,1000,0.2393689,13.857557,16.486384099663,0.158277562253,0.620448044031,0.189703502548,0.167316871051,0.212090134046,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ITM put,110.0,0.02,0.5,0.5,12,24,20000,hybrid,2026,2103,1000,37.5735034,13.857557,16.087456162656,0.051420567362,0.201568624059,0.160915748906,0.153642871585,0.168188626227,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ITM put,110.0,0.02,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.2728403,13.857557,15.855588255423,0.152863742581,0.599225870919,0.144183513402,0.122562607533,0.165804419270,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ITM put,110.0,0.02,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,38.2196695,13.857557,15.529177172310,0.053158099402,0.208379749656,0.120628778385,0.113110146145,0.128147410625,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ITM put,110.0,0.02,0.5,0.5,12,72,20000,benchmark,2026,2103,1000,0.302469300001,13.857557,15.416350715038,0.151651634099,0.594474405670,0.112486906245,0.091037439875,0.133936372614,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ITM put,110.0,0.02,0.5,0.5,12,72,20000,hybrid,2026,2103,1000,38.3437063,13.857557,15.196305646348,0.053111628930,0.208197585405,0.096607839776,0.089095780277,0.104119899276,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ITM put,110.0,0.02,0.5,0.5,12,96,20000,benchmark,2026,2103,1000,0.3551964,13.857557,15.221909254068,0.149873012325,0.587502208314,0.098455467588,0.077257567832,0.119653367345,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ITM put,110.0,0.02,0.5,0.5,12,96,20000,hybrid,2026,2103,1000,38.4258007,13.857557,15.140926855024,0.053408832225,0.209362622324,0.092611551590,0.085057455933,0.100165647248,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
