euler_steps,rel_error_pct,yerr_minus_pct,yerr_plus_pct
24,3.731458,0.397654,0.397654
48,0.526072,0.401943,0.401943
72,0.138688,0.138688,0.404909
96,0.449352,0.403989,0.403989
