euler_steps,rel_error_pct,yerr_minus_pct,yerr_plus_pct
24,1.467537,0.527624,0.527624
48,0.228312,0.228312,0.535940
72,0.163457,0.163457,0.534494
96,0.406677,0.406677,0.535985
