euler_steps,rel_error_pct,yerr_minus_pct,yerr_plus_pct
24,6.757463,0.858386,0.858386
48,1.589493,0.876369,0.876369
72,0.559593,0.559593,0.886265
96,1.186040,0.880309,0.880309
