paths,rel_error_pct,yerr_minus_pct,yerr_plus_pct
250,1.637839,1.637839,2.257493
1000,0.006425,0.006425,1.170763
5000,0.929945,0.507714,0.507714
10000,0.680088,0.351204,0.351204
20000,0.913377,0.247628,0.247628
40000,1.252784,0.174390,0.174390
60000,1.292386,0.143247,0.143247
