scenario,S0,K,T,benchmark_direct_price,benchmark_direct_error,benchmark_low_price,benchmark_low_error,hybrid_direct_price,hybrid_direct_error,hybrid_low_price,hybrid_low_error,hybrid_direct_rel_error,hybrid_low_rel_error,benchmark_direct_low_gap,hybrid_direct_low_gap
ATM,100.0,100.0,2.0,15.78036657524109,0.15118141653383013,15.70897744140625,0.15070709411787123,15.301085453255018,0.11329454158545403,14.589759811878462,0.4348529897350045,0.03037198912337364,0.07124700724171364,-0.004523921132912551,-0.04648857386945935
ITM put,100.0,110.0,2.0,21.025804320526124,0.17166128997365757,20.94648522205353,0.1712000150989309,20.620736332139156,0.1386535713860251,19.691468856978073,0.5004004500443376,0.0192652790928681,0.059915367746475684,-0.0037724644091337452,-0.04506470865992993
OTM put,100.0,90.0,2.0,11.404303374671937,0.12868462122463778,11.406095867919921,0.1288642526386424,10.963437148263566,0.08837601514794649,10.47775746443366,0.36533758548150874,0.038657883074866305,0.08138967217496816,0.00015717691726490558,-0.04429994692921916
