method,scenario,K,euler_steps,paths,low_paths,seed,low_seed,price_direct,se_direct,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,runtime_seconds,engine_sha256,scratch_path,log_path
benchmark,ATM,100,24,250,100,2026,2103,17.203169492439,1.581553574496,100,1,0.05,0.114,0.09,2,0.1,0.09,4,0.502,-0.3,-0.727,0.59,0.5,0.5,12,0.331405,8dff8997692f88f8f1919fec66e354a48e39e7fc28ce96132309ba28090306ca,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\scratch\benchmark_K100_M24_N250,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\logs\jobs\benchmark_K100_M24_N250.log
hybrid,ATM,100,24,100,100,2026,2103,12.775732248411,0.840898611148,100,1,0.05,0.114,0.09,2,0.1,0.09,4,0.502,-0.3,-0.727,0.59,0.5,0.5,12,0.537468,4bc9bd8448c24c764f1249ea96ec97cc88b319fdeeb71df2bb16d0c26f517d94,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\scratch\hybrid_K100_M24_N100,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\logs\jobs\hybrid_K100_M24_N100.log
