scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,250,benchmark,2026,2103,250,0.185331799999,2.522851,3.452403326210,0.599245783804,0.368453121572,0.000000000000,0.834006472228,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,250,hybrid,2026,2103,250,1.0328943,2.522851,3.125334586137,0.111259638772,0.238810609956,0.152373126334,0.325248093578,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,500,benchmark,2026,2103,500,0.169391800002,2.522851,2.750948258219,0.369964463513,0.090412496901,0.000000000000,0.377837457188,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,500,hybrid,2026,2103,500,1.9215858,2.522851,2.885869063540,0.069289214953,0.143891995025,0.090061284726,0.197722705324,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,1000,benchmark,2026,2103,1000,0.175444299995,2.522851,2.884379234690,0.282051044690,0.143301461200,0.000000000000,0.362426588919,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,1000,hybrid,2026,2103,1000,3.70241860001,2.522851,2.639242809921,0.049856204374,0.046135031328,0.007401804287,0.084868258369,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,2000,benchmark,2026,2103,1000,0.178526999996,2.522851,2.606424646088,0.173975128668,0.033126667444,0.000000000000,0.168287742034,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,2000,hybrid,2026,2103,1000,5.5348146,2.522851,2.366552489671,0.032346965879,0.061953127763,0.036822807691,0.087083447834,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,5000,benchmark,2026,2103,1000,0.210373200003,2.522851,2.737857940761,0.120118783128,0.085223796713,0.000000000000,0.178543939254,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,5000,hybrid,2026,2103,1000,10.7499282,2.522851,2.652663239733,0.024306895300,0.051454580446,0.032570581832,0.070338579060,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,10000,benchmark,2026,2103,1000,0.235793400003,2.522851,2.665209499850,0.080891664381,0.056427628841,0.000000000000,0.119272268571,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,10000,hybrid,2026,2103,1000,19.5940772,2.522851,2.568375249423,0.015804216520,0.018044763414,0.005766486029,0.030323040799,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,20000,benchmark,2026,2103,1000,0.2968549,2.522851,2.635092847466,0.057142799189,0.044490081842,0.000095907787,0.088884255898,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,20000,hybrid,2026,2103,1000,37.5390821,2.522851,2.563086507279,0.011954012626,0.015948427901,0.006661369432,0.025235486371,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,40000,benchmark,2026,2103,1000,0.458152800005,2.522851,2.619412971081,0.040445064388,0.038274940169,0.006853216809,0.069696663529,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,40000,hybrid,2026,2103,1000,72.7425714,2.522851,2.548953431046,0.007950820462,0.010346402164,0.004169419019,0.016523385310,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,60000,benchmark,2026,2103,1000,0.593679599995,2.522851,2.586707295244,0.032242608608,0.025311163935,0.000261918906,0.050360408964,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,60000,hybrid,2026,2103,1000,108.0067102,2.522851,2.569599020300,0.006593057764,0.018529837989,0.013407699101,0.023651976877,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
