paths,rel_error_pct,yerr_minus_pct,yerr_plus_pct
250,30.359470,9.172850,9.172850
1000,22.057591,4.534454,4.534454
5000,18.224811,1.978135,1.978135
10000,14.705649,1.368514,1.368514
20000,14.971959,0.963383,0.963383
40000,16.300189,0.659608,0.659608
60000,17.085203,0.546865,0.546865
