scenario,K,euler_steps,paths,method,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct
OTM put,90,60,250,benchmark,0.2025134,7.082115,11.117630481168,1.233302273243,0.569817841304,0.228497140418,0.911138542190
OTM put,90,60,250,hybrid,1.0864056,7.082115,8.821923397330,0.304561140474,0.245662262944,0.161373906241,0.329950619647
OTM put,90,60,500,benchmark,0.181813700001,7.082115,9.577055618459,0.767450035020,0.352287504292,0.139893033341,0.564681975243
OTM put,90,60,500,hybrid,1.9642271,7.082115,8.535713364964,0.192196296993,0.205249189679,0.152058194883,0.258440184475
OTM put,90,60,1000,benchmark,0.194707999999,7.082115,9.088703120593,0.585113875699,0.283331761853,0.121399458244,0.445264065461
OTM put,90,60,1000,hybrid,3.8161249,7.082115,8.262682767339,0.150655498714,0.166697062578,0.125002628432,0.208391496724
OTM put,90,60,2000,benchmark,0.1832964,7.082115,8.646837923886,0.377238644608,0.220940061533,0.116537952357,0.325342170710
OTM put,90,60,2000,hybrid,5.9689552,7.082115,7.796533071821,0.097205904679,0.100876372640,0.073974299860,0.127778445421
OTM put,90,60,5000,benchmark,0.2393522,7.082115,8.371016788380,0.238042924431,0.181993908371,0.116114699704,0.247873117037
OTM put,90,60,5000,hybrid,12.1132403,7.082115,8.234749934671,0.067260561079,0.162752925457,0.144138330846,0.181367520068
OTM put,90,60,10000,benchmark,0.2411299,7.082115,8.530277803063,0.168733327490,0.204481684223,0.157784147982,0.251179220465
OTM put,90,60,10000,hybrid,20.2861608,7.082115,8.013451825244,0.045743520741,0.131505464857,0.118845786123,0.144165143590
OTM put,90,60,20000,benchmark,0.267841000001,7.082115,8.375728910989,0.118547689781,0.182659263651,0.149850777489,0.215467749812
OTM put,90,60,20000,hybrid,39.756045,7.082115,7.962628326791,0.033360282350,0.124329148396,0.115096574030,0.133561722762
OTM put,90,60,40000,benchmark,0.4490119,7.082115,8.219462363170,0.082332521333,0.160594308786,0.137808496665,0.183380120908
OTM put,90,60,40000,hybrid,76.7992202,7.082115,8.057662458999,0.022634148150,0.137748039816,0.131483960459,0.144012119172
OTM put,90,60,60000,benchmark,0.5699171,7.082115,8.230569578293,0.067074632659,0.162162655971,0.143599517698,0.180725794244
OTM put,90,60,60000,hybrid,106.9356888,7.082115,8.088322203528,0.018579569216,0.142077218956,0.136935258445,0.147219179467
