scenario,K,euler_steps,paths,method,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct
OTM put,90,48,250,benchmark,0.1837216,7.082115,10.823726075282,1.150697229927,0.528318316673,0.209858849316,0.846777784029
OTM put,90,48,250,hybrid,1.0244575,7.082115,9.093990770054,0.300395311266,0.284078381960,0.200942933004,0.367213830916
OTM put,90,48,500,benchmark,0.178302800001,7.082115,8.916768610297,0.704786691625,0.259054478824,0.064002306474,0.454106651174
OTM put,90,48,500,hybrid,1.9196637,7.082115,8.623618376028,0.192589247238,0.217661443796,0.164361698651,0.270961188941
OTM put,90,48,1000,benchmark,0.1939174,7.082115,9.144285999097,0.578432521300,0.291180106380,0.131096890879,0.451263321881
OTM put,90,48,1000,hybrid,3.7077331,7.082115,8.529904328938,0.152804763520,0.204428949394,0.162139698726,0.246718200063
OTM put,90,48,2000,benchmark,0.2038808,7.082115,9.070665943801,0.399511311130,0.280784898833,0.170218751600,0.391351046067
OTM put,90,48,2000,hybrid,5.6236919,7.082115,7.808447176356,0.095904361463,0.102558653221,0.076016787060,0.129100519382
OTM put,90,48,5000,benchmark,0.2049099,7.082115,8.402560131376,0.235097301933,0.186447852284,0.121383854906,0.251511849661
OTM put,90,48,5000,hybrid,11.7991082,7.082115,8.315526529736,0.066773273566,0.174158641837,0.155678905743,0.192638377931
OTM put,90,48,10000,benchmark,0.204183900001,7.082115,8.496125872539,0.169917402796,0.199659405776,0.152634172568,0.246684638984
OTM put,90,48,10000,hybrid,20.9538759,7.082115,8.070456400215,0.046457247486,0.139554554002,0.126697348905,0.152411759098
OTM put,90,48,20000,benchmark,0,7.082115,8.387971740015,0.117964333871,0.184387960378,0.151740919997,0.217035000759
OTM put,90,48,20000,hybrid,0,7.082115,8.086223622392,0.032676500638,0.141780897711,0.132737562316,0.150824233106
OTM put,90,48,40000,benchmark,0.4503795,7.082115,8.341125756398,0.083717694765,0.177773272024,0.154604108329,0.200942435718
OTM put,90,48,40000,hybrid,77.9351671,7.082115,8.180089978869,0.022446005744,0.155034898313,0.148822888023,0.161246908604
OTM put,90,48,60000,benchmark,0,7.082115,8.328672353305,0.068134673487,0.176014842078,0.157158333813,0.194871350344
OTM put,90,48,60000,hybrid,0,7.082115,8.213614547686,0.018556581037,0.159768592812,0.154632994360,0.164904191265
