scenario,K,euler_steps,paths,method,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct
ITM put,110,48,250,benchmark,0.1653222,13.857272,19.706742859483,1.575271909278,0.422122829045,0.199313249917,0.644932408173
ITM put,110,48,250,hybrid,0.989098599999,13.857272,17.095349302769,0.482122000564,0.233673503902,0.165481213161,0.301865794644
ITM put,110,48,500,benchmark,0.161414599999,13.857272,17.091572459687,0.996057492278,0.233400950756,0.092516606070,0.374285295443
ITM put,110,48,500,hybrid,1.8229795,13.857272,16.429564310237,0.320394931315,0.185627612003,0.140310318283,0.230944905723
ITM put,110,48,1000,benchmark,0.167681499999,13.857272,16.579279595787,0.717085557662,0.196431707178,0.095005705507,0.297857708848
ITM put,110,48,1000,hybrid,3.5396703,13.857272,16.070142544555,0.251779661139,0.159690200535,0.124077986542,0.195302414529
ITM put,110,48,2000,benchmark,0.170710599999,13.857272,16.850483930547,0.519839886427,0.216002971620,0.142475788391,0.289530154849
ITM put,110,48,2000,hybrid,5.2577085,13.857272,15.299815226338,0.161612339936,0.104100087401,0.081241317921,0.126958856881
ITM put,110,48,5000,benchmark,0.181052,13.857272,15.896730221600,0.306537747713,0.147176025815,0.103818719592,0.190533332038
ITM put,110,48,5000,hybrid,10.5391893,13.857272,15.815756838470,0.107509466962,0.141332640253,0.126126288293,0.156538992214
ITM put,110,48,10000,benchmark,0.199979700001,13.857272,15.883255066086,0.215724181815,0.146203600975,0.115691145395,0.176716056555
ITM put,110,48,10000,hybrid,19.1269913,13.857272,15.493389099028,0.075453003842,0.118069205759,0.107396983439,0.128741428079
ITM put,110,48,20000,benchmark,0,13.857272,15.855588252429,0.152863742566,0.144207045400,0.122585694861,0.165828395940
ITM put,110,48,20000,hybrid,0,13.857272,15.529177175019,0.053158099369,0.120651826349,0.113133039480,0.128170613219
ITM put,110,48,40000,benchmark,0.3627526,13.857272,15.729707612288,0.107921333712,0.135122960153,0.119858352944,0.150387567363
ITM put,110,48,40000,hybrid,71.6526763,13.857272,15.653447879461,0.036814624159,0.129619731752,0.124412598389,0.134826865116
ITM put,110,48,60000,benchmark,0,13.857272,15.613308924554,0.087807802120,0.126723133136,0.114303423675,0.139142842596
ITM put,110,48,60000,hybrid,0,13.857272,15.686226859721,0.030398824382,0.131985203128,0.127685533194,0.136284873062
