scenario,K,euler_steps,paths,method,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct
ITM put,110,48,250,benchmark,0.245549000014,16.645784,20.412711000000,1.369677000000,0.226299163800,0.065023076113,0.387575251487
ITM put,110,48,250,hybrid,2.188459300000,16.645784,18.067403385045,0.407603625290,0.085404171113,0.037409849814,0.133398492412
ITM put,110,48,500,benchmark,0.233715800001,16.645784,18.919435000000,0.855913000000,0.136590202060,0.035808557891,0.237371846228
ITM put,110,48,500,hybrid,3.959168200003,16.645784,17.606092763187,0.285888853716,0.057690810069,0.024028102846,0.091353517291
ITM put,110,48,1000,benchmark,0.260683300003,16.645784,17.702623000000,0.610533000000,0.063489890293,0.000000000000,0.135378644827
ITM put,110,48,1000,hybrid,8.121881600004,16.645784,16.810664663703,0.214414077901,0.009905250705,0.000000000000,0.035151979407
ITM put,110,48,2000,benchmark,0.247675899998,16.645784,17.442342000000,0.453896000000,0.047853438444,0.000000000000,0.101298572660
ITM put,110,48,2000,hybrid,29.575587400002,16.645784,16.439462149591,0.138393877632,0.012394841265,0.000000000000,0.028690378931
ITM put,110,48,5000,benchmark,0.525658700004,16.645784,17.002673000000,0.280997000000,0.021440203718,0.000000000000,0.054526907234
ITM put,110,48,5000,hybrid,63.545015500000,16.645784,16.866816112540,0.093301596614,0.013278564262,0.002292531441,0.024264597084
ITM put,110,48,10000,benchmark,0.430960300000,16.645784,16.905094000000,0.194854000000,0.015578118760,0.000000000000,0.038521696545
ITM put,110,48,10000,hybrid,123.824025299997,16.645784,16.546234079544,0.064658022361,0.005980488540,0.000000000000,0.013593811159
ITM put,110,48,20000,benchmark,0.458498300053,16.645784,16.849004000000,0.135565000000,0.012208496758,0.000000000000,0.028170941062
ITM put,110,48,20000,hybrid,76.345009000041,16.645784,16.683788371758,0.045516006043,0.002283122967,0.000000000000,0.007642520389
ITM put,110,48,40000,benchmark,1.212932299997,16.645784,16.883956000000,0.098116000000,0.014308247662,0.002755330719,0.025861164605
ITM put,110,48,40000,hybrid,536.755927099992,16.645784,16.752016635603,0.031729620011,0.006381954470,0.002645869992,0.010118038948
ITM put,110,48,60000,benchmark,1.039584799903,16.645784,16.729168000000,0.079542000000,0.005009316473,0.000000000000,0.014375190739
ITM put,110,48,60000,hybrid,242.284545599949,16.645784,16.718825358519,0.026147108675,0.004387979474,0.001309221934,0.007466737014
