"scenario","K","euler_steps","method","runtime_seconds","reference_direct_price","price_direct","se_direct","ci_width_direct","rel_error_direct"
"ITM put","110.0","24","benchmark","1.1734742000699043","16.645784","17.073508","0.134578","0.52754576","0.02569563560358595"
"ITM put","110.0","24","hybrid","76.82647720002569","16.645784","16.890067015409294","0.0448097677604197","0.17565428962084523","0.014675368574366611"
"ITM put","110.0","48","benchmark","0.45849830005317926","16.645784","16.849004","0.135565","0.5314148","0.012208496758098132"
"ITM put","110.0","48","hybrid","76.34500900004059","16.645784","16.683788371758137","0.04551600604324996","0.17842274368953984","0.0022831229672413134"
"ITM put","110.0","72","benchmark","0.432255299994722","16.645784","16.774434","0.134824","0.52851008","0.0077286837315683286"
"ITM put","110.0","72","hybrid","76.22194880014285","16.645784","16.61857534330847","0.04539325147247503","0.1779415457721021","0.0016345674491227162"
"ITM put","110.0","96","benchmark","0.6001716998871416","16.645784","16.739208","0.136608","0.53550336","0.00561247220317183"
"ITM put","110.0","96","hybrid","76.90512949996628","16.645784","16.713478556613012","0.045519890356824994","0.17843797019875396","0.004066768895536127"
"ATM","100.0","24","benchmark","0.3521195000503212","11.356823","11.813959","0.118495","0.4645004","0.04025210219442534"
"ATM","100.0","24","hybrid","80.87500620004721","11.356823","11.584063596069388","0.03523030564309694","0.13810279812094","0.020009169471901404"
"ATM","100.0","48","benchmark","0.4495644001290202","11.356823","11.508503","0.11929","0.46761679999999994","0.013355847845827915"
"ATM","100.0","48","hybrid","80.3933694998268","11.356823","11.362763615328547","0.035910970815664946","0.14077100559740657","0.000523087779790719"
"ATM","100.0","72","benchmark","0.4561452998314053","11.356823","11.464532","0.11743","0.4603256","0.009484078425806217"
"ATM","100.0","72","hybrid","78.04673820012249","11.356823","11.30283641752993","0.03590946177832888","0.14076509017104918","0.004753669443476444"
"ATM","100.0","96","benchmark","0.5320275998674333","11.356823","11.549213","0.119243","0.46743256","0.016940477103499774"
"ATM","100.0","96","hybrid","78.38310649991035","11.356823","11.37638108466363","0.0359982731250466","0.1411132306501827","0.0017221440066142583"
"OTM put","90.0","24","benchmark","0.31414159992709756","7.402999","7.819243","0.100936","0.39566912","0.05622640229993275"
"OTM put","90.0","24","hybrid","81.18719629989937","7.402999","7.633806893417405","0.026034369168299952","0.1020547271397358","0.031177620504528568"
"OTM put","90.0","48","benchmark","0.4947645999491215","7.402999","7.563898","0.098998","0.38807216","0.021734299842536744"
"OTM put","90.0","48","hybrid","82.72458569984883","7.402999","7.421371471344581","0.026580401019061978","0.10419517199472295","0.0024817606141214568"
"OTM put","90.0","72","benchmark","0.5010458999313414","7.402999","7.535388","0.098666","0.38677072","0.017883157893172734"
"OTM put","90.0","72","hybrid","78.74057679995894","7.402999","7.37203360460024","0.02667418664500213","0.10456281164840835","0.00418281772019153"
"OTM put","90.0","96","benchmark","0.5394478000234812","7.402999","7.550651","0.098457","0.38595144","0.019944889902051843"
"OTM put","90.0","96","hybrid","78.47181460005231","7.402999","7.421711311827877","0.026721406157533715","0.10474791213753216","0.0025276663995059635"
"K=80 put","80.0","24","benchmark","0.3819788000546396","4.596899","4.939152","0.080613","0.31600296","0.07445301713176652"
"K=80 put","80.0","24","hybrid","81.10587040008977","4.596899","4.817993174867834","0.018118134870054595","0.07102308869061401","0.04809637428793515"
"K=80 put","80.0","48","benchmark","0.4518161998130381","4.596899","4.743693","0.077914","0.30542288","0.03193326631714135"
"K=80 put","80.0","48","hybrid","79.17350099980831","4.596899","4.635145632653648","0.01849671854430275","0.07250713669366678","0.008320094188201347"
"K=80 put","80.0","72","benchmark","0.49165090010501444","4.596899","4.672537","0.076738","0.30081296","0.01645413571192244"
"K=80 put","80.0","72","hybrid","78.67510510003194","4.596899","4.597430623091034","0.018645083597441128","0.07308872770196922","0.00011564819915216396"
"K=80 put","80.0","96","benchmark","0.6164041999727488","4.596899","4.676959","0.076453","0.29969576","0.017416088541427704"
"K=80 put","80.0","96","hybrid","78.89467380009592","4.596899","4.627596341490673","0.01862497992282309","0.0730099212974665","0.0066778368397202225"
"K=70 put","70.0","24","benchmark","0.3515157999936491","2.699339","2.939875","0.061172","0.23979424","0.08910922266525236"
"K=70 put","70.0","24","hybrid","81.71065869997256","2.699339","2.881745827858158","0.01182180864147802","0.046341489874593834","0.06757462766186755"
"K=70 put","70.0","48","benchmark","0.43343440000899136","2.699339","2.804334","0.059206","0.23208752","0.03889655949104567"
"K=70 put","70.0","48","hybrid","78.09694169997238","2.699339","2.742244791410761","0.012069471513465452","0.04731232833278457","0.01589492516899903"
"K=70 put","70.0","72","benchmark","0.5001460998319089","2.699339","2.739173","0.057802","0.22658383999999998","0.014756946052348343"
"K=70 put","70.0","72","hybrid","78.66720909997821","2.699339","2.71444431339296","0.012205757131572072","0.047846567955762524","0.005595930482595824"
"K=70 put","70.0","96","benchmark","0.5654128999449313","2.699339","2.719517","0.058068","0.22762656","0.007475163364068028"
"K=70 put","70.0","96","hybrid","78.3742526001297","2.699339","2.7313542280879863","0.01212374360288327","0.04752507492330242","0.011860395484963607"
