paths,method,runtime_seconds,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,price_low,se_low,rel_error_low,rel_ci_lower_low,rel_ci_upper_low,direct_low_gap
250,benchmark,0.5721197000239044,14.103409,1.146073,0.2402740290298194,0.042730912223542736,0.43781714583609604,11.300593,1.024923,0.004229072747118296,0.0,0.1812422180840665,-0.1987332282570831
250,hybrid,1.2656010000500828,12.57716091672828,0.32311162880760247,0.10605358207699725,0.050360377341342126,0.1617467868126524,10.35628338865468,0.9862151810644586,0.0874385164730482,0.0,0.2577664837245076,-0.17658019506768954
500,benchmark,0.20469009992666543,12.60083,0.747838,0.10813507523038014,0.0,0.23703633142101752,11.073453,0.688727,0.02424389926252489,0.0,0.14319306183227917,-0.12121241219824405
500,hybrid,2.290444300044328,12.15539593312005,0.22272179271977105,0.06896296409070214,0.030573474839541856,0.10735245334186244,10.33392410641336,0.6758838001546918,0.08940874256739104,0.0,0.20613977245712056,-0.14984882736264388
1000,benchmark,0.21208269987255335,12.044279,0.556184,0.05919118151428811,0.0,0.15505795516464213,11.215452,0.510605,0.011731416430961787,0.0,0.09991735535005358,-0.06881499506944323
1000,hybrid,4.565819200128317,11.540799767715816,0.16840969233371283,0.014914495221070304,0.0,0.04394246771844855,11.030210952839601,0.49538523082602526,0.0280542456219791,0.0,0.11361159760060072,-0.04424206512139078
2000,benchmark,0.21572030009701848,12.183347,0.408285,0.07142102102820413,0.0010468900214963002,0.14179515203491197,11.069514,0.377007,0.024590990931293945,0.0,0.08970338950567155,-0.09142257870517845
2000,hybrid,9.378723700065166,11.09617231631071,0.10784812998919706,0.02418668099607485,0.005597415094343994,0.0427759468978057,10.960154751559621,0.3506595778216417,0.03422736667043917,0.0,0.09478933553320752,-0.012258061687736372
5000,benchmark,0.24750220007263124,11.832667,0.253256,0.04058171852338593,0.0,0.08423424291746066,11.43229,0.245222,0.007375631873818287,0.0,0.04972761102329307,-0.033836581389470405
5000,hybrid,22.99433059990406,11.540629797536665,0.07362377954364294,0.014899547799570268,0.002209369353599137,0.0275897262455414,11.192507421835904,0.2367210015482825,0.013753216868681205,0.0,0.054636999407832024,-0.030164937426124486
10000,benchmark,0.28223450016230345,11.561979,0.167854,0.01677702730511198,0.0,0.04570921777500424,11.252725,0.163006,0.008447042790437289,0.0,0.03659960134244028,-0.026747497119653935
10000,hybrid,41.36281209997833,11.247761052626007,0.050832322460036154,0.010855749960513706,0.0020940258702879973,0.019617474050739415,11.410691919298717,0.15961100902714725,0.0054724803447968335,0.0,0.03303869433189574,0.014485626598074865
20000,benchmark,0.40145400003530085,11.508503,0.11929,0.012074271115002309,0.0,0.032635717378740006,11.444655,0.118795,0.008465194829981823,0.0,0.02898212790720102,-0.005547897932511303
20000,hybrid,78.61914389999583,11.362763615328547,0.035910970815664946,0.0007422595418615325,0.0,0.006932061677035954,11.562451199107448,0.11809303784154858,0.01884500679313186,0.0,0.03924070488042992,0.017573857077297632
40000,benchmark,0.6077852000016719,11.565093,0.084977,0.01705087693440366,0.002403798225763891,0.03169795564304343,11.507013,0.08483,0.013959975810204424,0.0,0.028610857016825187,-0.005022008902133219
40000,hybrid,154.89165170001797,11.416874091701098,0.02496246080192288,0.004016293411066911,0.0,0.008318953285234099,11.543836972004472,0.08391403077299184,0.017204782586983915,0.0027120972583994187,0.03169746791556841,0.011120634184418575
60000,benchmark,0.9138575999531895,11.496757,0.069573,0.011041311016845712,0.0,0.0230332759837921,11.463595,0.069227,0.010134125067728657,0.0,0.022090232026242454,-0.0028844655932103985
60000,hybrid,233.8582069000695,11.391167849488118,0.020572774006637238,0.0017556495766075256,0.0,0.005301680151119178,11.499922409775376,0.06716243980867335,0.01333517642111532,0.0017356370225101116,0.024934715819720527,0.009547270457624307
