scenario,S0,K,T,benchmark_direct_price,benchmark_direct_error,benchmark_low_price,benchmark_low_error,hybrid_direct_price,hybrid_direct_error,hybrid_low_price,hybrid_low_error,hybrid_direct_rel_error,hybrid_low_rel_error,benchmark_direct_low_gap,hybrid_direct_low_gap
ATM,100.0,100.0,1.0,11.356561,0.118632,11.671608,0.119163,11.510342380160665,0.11575280747228252,11.287132839988498,0.3661177723917267,0.013541192633990696,0.03294106176385489,0.027741408688774855,-0.01939208520477143
ITM put,100.0,110.0,1.0,16.70701,0.134027,16.920123,0.133878,16.819009188116432,0.1461281576835715,16.70529306476981,0.43187108384566875,0.006703724252061363,0.012696712383839756,0.012755903061050414,-0.006761166610633075
OTM put,100.0,90.0,1.0,7.388515,0.098202,7.560039,0.098304,7.573821052242707,0.08641154427665934,7.367058316413392,0.29999145475927935,0.025080283689307904,0.02552641376408351,0.023214949147426753,-0.02729965949856843
