scenario,K,euler_steps,method,runtime_seconds,reference_direct_price,reference_direct_error,price_direct,se_direct,direct_ci_lower,direct_ci_upper,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct
K=80 put,80.0,12,benchmark,9.463490499882028,4.596899,0.009874,5.175336,0.011853,5.15210412,5.19856788,0.125832001094651,0.12077818546807319,0.13088581672122884
K=80 put,80.0,12,hybrid,218.56793450005352,4.596899,0.009874,5.196682092081854,0.010102739371556167,5.176880722913604,5.216483461250104,0.1304755862771522,0.1261680369556966,0.13478313559860777
K=80 put,80.0,24,benchmark,10.90633950009942,4.596899,0.009874,4.828087,0.011268,4.80600172,4.85017228,0.0502921643481835,0.0454877777388628,0.055096550957504216
K=80 put,80.0,24,hybrid,240.05976249999367,4.596899,0.009874,4.844431963415905,0.01042551327602915,4.823997957394888,4.864865969436923,0.05384781423648982,0.049402642388899236,0.05829298608408041
K=80 put,80.0,48,benchmark,15.435074700042605,4.596899,0.009874,4.652622,0.010974,4.63111296,4.67413104,0.012121867371895797,0.007442834832786332,0.016800899911005262
K=80 put,80.0,48,hybrid,236.46873619989492,4.596899,0.009874,4.648764493296767,0.010520496057790553,4.628144321023497,4.669384665570036,0.011282713258822364,0.00679704318574277,0.015768383331901958
K=80 put,80.0,72,benchmark,20.53262780001387,4.596899,0.009874,4.606658,0.010862,4.5853684800000005,4.62794752,0.0021229528862828483,0.0,0.006754231493883285
K=80 put,80.0,72,hybrid,234.12830179999582,4.596899,0.009874,4.6100832357938515,0.01062949713610667,4.589249421407082,4.630917050180621,0.0028680716704569454,0.0,0.007400217011646568
K=80 put,80.0,120,benchmark,29.523840700043365,4.596899,0.009874,4.59227,0.010835,4.5710334,4.6135066,0.0010069831858388776,0.0,0.005626749684950548
K=80 put,80.0,120,hybrid,233.60462519992143,4.596899,0.009874,4.575418845235382,0.010642948081373683,4.55455866699589,4.5962790234748745,0.0046727489041237386,0.0001348684243715453,0.009210629383875932
K=70 put,70.0,12,benchmark,8.446167800109833,2.699339,0.007474,3.111403,0.00902,3.0937238000000002,3.1290822,0.15265366817580153,0.1461042129202742,0.15920312343132886
K=70 put,70.0,12,hybrid,220.01008280017413,2.699339,0.007474,3.151099394393082,0.006606081538933529,3.1381514745767722,3.164047314209392,0.1673596367084986,0.16256293654734438,0.1721563368696528
K=70 put,70.0,24,benchmark,10.897906600032002,2.699339,0.007474,2.872252,0.008584,2.85542736,2.88907664,0.06405753408519636,0.057824660037142435,0.07029040813325028
K=70 put,70.0,24,hybrid,235.23616289999336,2.699339,0.007474,2.896302822740215,0.006782900588303959,2.8830083375871394,2.9095973078932906,0.07296742748510462,0.06804233836029458,0.07789251660991467
K=70 put,70.0,48,benchmark,15.65766300004907,2.699339,0.007474,2.739336,0.008305,2.7230582,2.7556138000000003,0.014817331205898947,0.008787040086480409,0.020847622325317484
K=70 put,70.0,48,hybrid,233.16610010014847,2.699339,0.007474,2.7508017051792146,0.006820850745047717,2.737432837718921,2.7641705726395083,0.019064928554440353,0.014112283680901446,0.024017573427979264
K=70 put,70.0,72,benchmark,19.999985799891874,2.699339,0.007474,2.707194,0.008222,2.69107888,2.7233091199999997,0.0029099716634330562,0.0,0.008879996176841641
K=70 put,70.0,72,hybrid,233.82834430015646,2.699339,0.007474,2.7221971421816824,0.00690799772458427,2.708657466641497,2.7357368177218677,0.008468051690314646,0.0034521290736350403,0.013483974306994254
K=70 put,70.0,120,benchmark,29.534372000023723,2.699339,0.007474,2.698996,0.008204,2.68291616,2.7150758400000004,0.0001270681452014668,0.0,0.006084022792246606
K=70 put,70.0,120,hybrid,235.47631619987078,2.699339,0.007474,2.6934137821857997,0.0069261064470298355,2.679838613549621,2.7069889508219784,0.0021950625001900138,0.0,0.007224133927001796
