scenario,K,euler_steps,method,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct
OTM put,90.0,24,benchmark,0.6968568000011146,7.402999,7.663824,0.058329,0.22864968,0.03523234300045153
OTM put,90.0,24,hybrid,237.80741030001082,7.402999,7.679238807152714,0.015019546059991912,0.0588766205551683,0.03731458117888627
OTM put,90.0,48,benchmark,0.9826978999190032,7.402999,7.53398,0.057264,0.22447488000000002,0.01769296470254816
OTM put,90.0,48,hybrid,245.20346180000342,7.402999,7.441944083913443,0.015181562503177471,0.059511725012455684,0.005260717165224853
OTM put,90.0,72,benchmark,1.1594593001063913,7.402999,7.503911,0.05675,0.22246,0.01363123242350838
OTM put,90.0,72,hybrid,240.14682690007612,7.402999,7.392731949329618,0.015293565586993102,0.05995077710101296,0.0013868772196757504
OTM put,90.0,96,benchmark,1.4014325998723507,7.402999,7.411275,0.055998,0.21951215999999998,0.0011179253164831586
OTM put,90.0,96,hybrid,238.436915300088,7.402999,7.369733503525011,0.015258827382606227,0.05981460333981641,0.004493516272930635
