scenario,S0,K,T,benchmark_direct_price,benchmark_direct_error,benchmark_low_price,benchmark_low_error,hybrid_direct_price,hybrid_direct_error,hybrid_low_price,hybrid_low_error,hybrid_direct_rel_error,hybrid_low_rel_error,benchmark_direct_low_gap,hybrid_direct_low_gap
ATM,100.0,100.0,1.0,11.371204,0.01659,11.348587,0.016578,11.2457816114811,0.03569275351224327,11.311579022203643,0.1126619106906158,0.011029824855740954,0.0032610207593559253,-0.001988971440491291,0.005850852612624954
ITM put,100.0,110.0,1.0,16.637388,0.018957,16.627006,0.018942,16.571452761358007,0.04516310437290432,16.58680873339312,0.1306308861110766,0.003963076333977105,0.0024175889878719895,-0.0006240162217771137,0.0009266521322090108
OTM put,100.0,90.0,1.0,7.426156,0.013741,7.406685,0.013738,7.295875649227773,0.026472778532974656,7.376273192211418,0.09235150592331337,0.017543443845271543,0.004105994488571157,-0.002621948690547216,0.011019587894450194
