setting,paths,low_paths,asset_points,asset_low_factor,asset_high_factor,vol_quantile,direct_price,direct_error,low_price,low_error,direct_rel_error,low_rel_error
baseline_production,20000,20000,181,0.35,3.00,0.997,15.035798401555686,0.01805709204105161,14.798166643340974,0.14406325144218526,0.02147260393057464,0.007272803617695433
paths40k_grid241,40000,40000,241,0.35,3.00,0.997,15.042662584836705,0.012459151644755317,14.8103324201375,0.10372491335076366,0.021938936466589765,0.008100932274503537
paths40k_grid301_q999,40000,40000,301,0.30,3.50,0.999,15.151277627123537,0.012444690146931121,14.830387338787519,0.10515932823052786,0.02931783770302315,0.00946603969440881
