scenario,K,r,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
ATM,100,0.02,0.5,0.5,12,60,250,benchmark,2026,2103,250,0.169625999999,9.921166,14.494904949503,1.369055074344,0.461008207050,0.190541212977,0.731475201122,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100,0.02,0.5,0.5,12,60,250,hybrid,2026,2103,250,1.0347424,9.921166,12.136844887530,0.391836258766,0.223328476464,0.145918314475,0.300738638454,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100,0.02,0.5,0.5,12,60,500,benchmark,2026,2103,500,0.170466899999,9.921166,12.933758351369,0.863832999904,0.303653053620,0.132996431222,0.474309676018,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100,0.02,0.5,0.5,12,60,500,hybrid,2026,2103,500,1.9321021,9.921166,11.770837308325,0.257368019721,0.186436887391,0.135591924344,0.237281850438,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100,0.02,0.5,0.5,12,60,1000,benchmark,2026,2103,1000,0.1775321,9.921166,12.353242118665,0.655713874893,0.245140149723,0.115599005588,0.374681293858,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100,0.02,0.5,0.5,12,60,1000,hybrid,2026,2103,1000,3.6917846,9.921166,11.341428534489,0.196491542081,0.143154799999,0.104336437069,0.181973162929,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100,0.02,0.5,0.5,12,60,2000,benchmark,2026,2103,1000,0.181648600001,9.921166,11.820755768869,0.448588645659,0.191468398862,0.102846381502,0.280090416223,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100,0.02,0.5,0.5,12,60,2000,hybrid,2026,2103,1000,5.6319085,9.921166,10.920112938436,0.127790036098,0.100688461259,0.075442590889,0.125934331629,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100,0.02,0.5,0.5,12,60,5000,benchmark,2026,2103,1000,0.211282099999,9.921166,11.518799798906,0.280652718645,0.161032866390,0.105587838200,0.216477894579,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100,0.02,0.5,0.5,12,60,5000,hybrid,2026,2103,1000,11.3662582,9.921166,11.369800373792,0.086660911970,0.146014528312,0.128894021764,0.163135034859,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100,0.02,0.5,0.5,12,60,10000,benchmark,2026,2103,1000,0.2385712,9.921166,11.700801267606,0.195487474386,0.179377632388,0.140757630485,0.217997634290,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100,0.02,0.5,0.5,12,60,10000,hybrid,2026,2103,1000,22.201807,9.921166,11.122235840106,0.059685235133,0.121061359129,0.109270097814,0.132852620445,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100,0.02,0.5,0.5,12,60,20000,benchmark,2026,2103,1000,0.297084400001,9.921166,11.462118398137,0.137987303895,0.155319687034,0.128059270705,0.182580103364,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100,0.02,0.5,0.5,12,60,20000,hybrid,2026,2103,1000,39.4454449,9.921166,11.052725313371,0.043130444086,0.114055073100,0.105534333662,0.122575812538,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100,0.02,0.5,0.5,12,60,40000,benchmark,2026,2103,1000,0.4552377,9.921166,11.392398536124,0.095716560477,0.148292301139,0.129382783998,0.167201818280,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100,0.02,0.5,0.5,12,60,40000,hybrid,2026,2103,1000,76.9000278,9.921166,11.184885314587,0.029420525550,0.127376088112,0.121563844865,0.133188331358,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100,0.02,0.5,0.5,12,60,60000,benchmark,2026,2103,1000,0.694817399999,9.921166,11.373201303670,0.078966782547,0.146357323693,0.130756849535,0.161957797850,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100,0.02,0.5,0.5,12,60,60000,hybrid,2026,2103,1000,112.3721719,9.921166,11.211492599770,0.024142973942,0.130057958890,0.125288335146,0.134827582634,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
