scenario,K,r,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
OTM put,90,0.02,0.5,0.5,12,48,250,benchmark,2026,2103,250,0.179418600001,7.081850,10.823726031192,1.150697211972,0.528375499508,0.209904120495,0.846846878521,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,48,250,hybrid,2026,2103,250,1.0424874,7.081850,9.093990776649,0.300395315769,0.284126432592,0.200987871494,0.367264993689,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,48,500,benchmark,2026,2103,500,0.1701467,7.081850,8.916768946061,0.704786700679,0.259101639552,0.064042165921,0.454161113183,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,48,500,hybrid,2026,2103,500,1.9195985,7.081850,8.623618367015,0.192589247697,0.217707006928,0.164405267201,0.271008746655,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,48,1000,benchmark,2026,2103,1000,0.172747000001,7.081850,9.144285756266,0.578432518666,0.291228387535,0.131139182513,0.451317592557,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,48,1000,hybrid,2026,2103,1000,3.8087443,7.081850,8.529904330092,0.152804763458,0.204474018808,0.162183185709,0.246764851906,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,48,2000,benchmark,2026,2103,1000,0.179531600001,7.081850,9.070665988889,0.399511313152,0.280832831660,0.170262546525,0.391403116794,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,48,2000,hybrid,2026,2103,1000,5.7634021,7.081850,7.808447176156,0.095904361737,0.102599910497,0.076057051075,0.129142769920,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,48,5000,benchmark,2026,2103,1000,0.207795100001,7.081850,8.402560189850,0.235097302794,0.186492256946,0.121425824661,0.251558689230,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,48,5000,hybrid,2026,2103,1000,11.6285059,7.081850,8.315526532290,0.066773273635,0.174202578746,0.155722151128,0.192683006363,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,48,10000,benchmark,2026,2103,1000,0.2369645,7.081850,8.496125792556,0.169917401919,0.199704285258,0.152677292628,0.246731277889,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,48,10000,hybrid,2026,2103,1000,21.4411862,7.081850,8.070456400197,0.046457247478,0.139597195676,0.126739509470,0.152454881882,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.2721662,7.081850,8.387971742925,0.117964333622,0.184432280114,0.151784018163,0.217080542065,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,39.2306839,7.081850,8.086223620843,0.032676500646,0.141823622478,0.132779948682,0.150867296273,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,48,40000,benchmark,2026,2103,1000,0.4044712,7.081850,8.341125751110,0.083717694758,0.177817343083,0.154647312409,0.200987373756,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,48,40000,hybrid,2026,2103,1000,78.3145104,7.081850,8.180089980783,0.022446005752,0.155078119528,0.148865876785,0.161290362272,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,48,60000,benchmark,2026,2103,1000,0.5861934,7.081850,8.328672321631,0.068134673353,0.176058843612,0.157201629780,0.194916057443,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,48,60000,hybrid,2026,2103,1000,120.6252852,7.081850,8.213614548811,0.018556581034,0.159811991049,0.154676200426,0.164947781673,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
