scenario,K,r,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
OTM put,90,0.02,0.5,0.5,12,60,250,benchmark,2026,2103,250,0.1853818,7.081850,11.117630812627,1.233302283011,0.569876630065,0.228543154391,0.911210105739,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,60,250,hybrid,2026,2103,250,1.0947342,7.081850,8.821923372741,0.304561142710,0.245708871657,0.161417360298,0.330000383015,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,60,500,benchmark,2026,2103,500,0.1797804,7.081850,9.577055280633,0.767450019721,0.352338058647,0.139935644214,0.564740473081,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,60,500,hybrid,2026,2103,500,1.9685939,7.081850,8.535713385471,0.192196296528,0.205294292518,0.152101307466,0.258487277571,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,60,1000,benchmark,2026,2103,1000,0.177171900001,7.081850,9.088703235655,0.585113876407,0.283379799862,0.121441436616,0.445318163109,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,60,1000,hybrid,2026,2103,1000,3.7142275,7.081850,8.262682758215,0.150655498314,0.166740718628,0.125044724404,0.208436712852,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,60,2000,benchmark,2026,2103,1000,0.1880796,7.081850,8.646837987343,0.377238644307,0.220985757584,0.116579741805,0.325391773362,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,60,2000,hybrid,2026,2103,1000,5.5453407,7.081850,7.796533076094,0.097205904776,0.100917567598,0.074014488126,0.127820647070,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,60,5000,benchmark,2026,2103,1000,0.203176199999,7.081850,8.371016854261,0.238042923813,0.182038147414,0.116156473745,0.247919821083,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,60,5000,hybrid,2026,2103,1000,11.1194595,7.081850,8.234749931611,0.067260561249,0.162796434775,0.144181143566,0.181411725984,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,60,10000,benchmark,2026,2103,1000,0.2289188,7.081850,8.530277866511,0.168733327913,0.204526764406,0.157827480644,0.251226048168,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,60,10000,hybrid,2026,2103,1000,20.8146641,7.081850,8.013451823261,0.045743520721,0.131547805060,0.118887652612,0.144207957508,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,60,20000,benchmark,2026,2103,1000,0.2863022,7.081850,8.375728949855,0.118547690114,0.182703523776,0.149893809842,0.215513237710,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,60,20000,hybrid,2026,2103,1000,40.3820586,7.081850,7.962628325672,0.033360282348,0.124371220186,0.115138300341,0.133604140030,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,60,40000,benchmark,2026,2103,1000,0.4466035,7.081850,8.219462341177,0.082332521247,0.160637734657,0.137851069923,0.183424399390,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,60,40000,hybrid,2026,2103,1000,78.2152209,7.081850,8.057662458893,0.022634148150,0.137790613878,0.131526300122,0.144054927634,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90,0.02,0.5,0.5,12,60,60000,benchmark,2026,2103,1000,0.636626,7.081850,8.230569560270,0.067074632553,0.162206141089,0.143642308220,0.180769973958,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90,0.02,0.5,0.5,12,60,60000,hybrid,2026,2103,1000,115.0776811,7.081850,8.088322203987,0.018579569207,0.142119955095,0.136977802176,0.147262108013,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
