study,scenario,K,euler_steps,paths,low_paths,seed,low_seed,price_direct,se_direct,previous_m500_price_direct,abs_difference_from_previous_m500,figure5_benchmark_direct_price,relative_error_vs_figure5_benchmark,price_low,se_low,r,delta1,delta2,v0,vp0,T,exercise_dates,runtime_seconds,benchmark_engine_sha256,code_path,log_path
exact_original_m500_n1200k_compare,OTM put,90,500,1200000,1200000,2026,2103,7.276137889653,0.014196376442,7.276137889653,0.000000000000,7.082115,0.027396178917,7.270379272471,0.014178426062,0.02,0.5,0.5,0.114,0.11,1.0,12,124.744540,55cdfd8419a9b9904df76b00a433701e0b9264b0754552c28020980c6578af1b,D:\Mara PhD\Paper-C\To be deleted\benchmark_code_exact\run_bgk_r03_benchmark_put.py,D:\Mara PhD\Paper-C\To be deleted\logs\exact_original_m500_n1200k_K90.log
exact_original_m500_n1200k_compare,ATM,100,500,1200000,1200000,2026,2103,10.178880804403,0.016460653969,10.178880804403,0.000000000000,9.921221,0.025970574025,10.167917812651,0.016443129591,0.02,0.5,0.5,0.114,0.11,1.0,12,117.382236,55cdfd8419a9b9904df76b00a433701e0b9264b0754552c28020980c6578af1b,D:\Mara PhD\Paper-C\To be deleted\benchmark_code_exact\run_bgk_r03_benchmark_put.py,D:\Mara PhD\Paper-C\To be deleted\logs\exact_original_m500_n1200k_K100.log
